State,Literacy1,Literacy2
Andaman & Nicobar,86.6,51.15
Andhra Pradesh,67,24.57
Arunachal Pradesh,65.4,11.29
Assam,72.2,33.94
Bihar,61.8,23.17
Chandigarh,86,70.43
Chattisgarh,70.3,24.08
Dadra & Nagar Haveli,76.2,18.13
Daman & Diu,87.1,
Delhi,86.2,65.08
Goa,88.7,51.96
Gujarat,78,36.95
Haryana,75.6,25.71
Himachal Pradesh,82.8,
Jammu & Kashmir,67.2,21.71
Jharkand,66.4,23.87
Karnataka,75.4,36.83
Kerala,94,69.75
Lakshadweep,91.8,51.76
Madhya Pradesh,69.3,27.27
Maharashtra,82.3,45.77
Manipur,76.9,38.47
Meghalaya,74.4,29.49
Mizoram,91.3,53.8
Nagaland,79.6,33.78
Orissa,72.9,26.18
Pondicherry,85.8,53.38
Punjab,75.8,34.12
Rajasthan,66.1,22.57
Sikkim,81.4,17.74
Tamil Nadu,80.1,45.4
Tripura,87.2,30.98
Uttar Pradesh,67.7,23.99
Uttranchal,78.8,33.26
West Bengal,76.3,38.86