#,State,Literacy,Male,Female,% Change
-,India,74.04,82.14,65.46,8.66
1,Kerala,94,96.11,92.07,3.14
2,Lakshadweep,91.85,95.56,87.95,5.19
3,Mizoram,91.33,93.35,89.27,2.53
4,Goa,88.7,92.65,84.66,6.69
5,Tripura,87.22,91.53,82.73,14.03
6,Daman and Diu,87.1,91.54,79.55,8.92
7,Andaman and Nicobar Islands,86.63,90.27,82.43,5.33
8,Delhi,86.21,90.94,80.76,4.54
9,Chandigarh,86.05,89.99,81.19,4.11
10,Puducherry,85.85,91.26,80.67,4.61
11,Himachal Pradesh,82.8,89.53,75.93,6.32
12,Maharashtra,82.34,88.38,75.87,5.46
13,Sikkim,81.42,86.55,75.61,12.61
14,Tamil Nadu,80.09,86.77,73.44,6.64
15,Nagaland,79.55,82.75,76.11,12.96
16,Uttarakhand,78.82,87.4,70.01,7.2
17,Gujarat,78.03,85.75,69.68,8.89
18,Manipur,76.94,83.58,70.26,10.33
19,West Bengal,76.26,81.69,70.54,7.62
20,Dadra and Nagar Haveli,76.24,85.17,64.32,18.61
21,Punjab,75.84,80.44,70.73,6.19
22,Haryana,75.55,84.06,65.94,7.64
23,Karnataka,75.36,82.47,68.08,8.72
24,Meghalaya,74.43,75.95,72.89,11.87
25,Orissa,72.87,81.59,64.01,9.79
26,Assam,72.19,77.85,66.27,8.94
27,Chhattisgarh,70.28,80.27,60.24,5.62
28,Madhya Pradesh,69.32,78.73,59.24,5.58
29,Uttar Pradesh,67.68,77.28,57.18,11.41
30,Jammu and Kashmir,67.16,76.75,56.43,11.64
31,Andhra Pradesh,67.02,74.88,59.15,6.55
32,Jharkhand,66.41,76.84,55.42,12.85
33,Rajasthan,66.11,79.19,52.12,5.7
34,Arunachal Pradesh,65.38,72.55,57.7,11.04
35,Bihar,61.8,71.2,51.5,14.8